,STOP_WAS_INITIATED,STOP_DURATION_MINUTES,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,FRISKED_FLAG,SEARCHED_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_BORO_NAME,IMMEDIATE_STOP_FLAG,STOP_FRISK_TIME_HOUR,KMEANS_DEMEANOR
1145,Based on Radio Run,5,Y,CPW,Y,Y,Y,16,MALE,BLACK,5.5,120,THN,BROWN,BLK,BRONX,Y,16,0
1146,Based on Radio Run,13,N,not arrested,Y,Y,N,30,MALE,WHITE,5.1,145,MED,BLACK,BLK,QUEENS,Y,9,1
1147,Based on Radio Run,5,N,not arrested,N,N,N,20,MALE,BLACK,5.7,170,MED,BROWN,BLK,QUEENS,Y,17,0
1148,Based on Self Initiated,41,N,not arrested,Y,N,N,20,MALE,BLACK,6.0,150,THN,BROWN,BLK,BRONX,Y,22,3
1149,Based on Self Initiated,5,N,not arrested,N,N,N,36,MALE,WHITE,6.1,180,MED,BROWN,BRO,MANHATTAN,N,2,1
1150,Based on Radio Run,10,N,not arrested,N,N,N,29,MALE,BLACK,5.7,165,MED,BROWN,BLK,MANHATTAN,Y,2,1
1151,Based on Radio Run,5,N,not arrested,Y,Y,Y,32,MALE,WHITE,5.0,170,MED,BLACK,BLK,BRONX,Y,14,3
1153,Based on Self Initiated,30,N,not arrested,Y,N,Y,23,MALE,BLACK,5.8,185,THN,BLACK,BLK,QUEENS,Y,4,1
1154,Based on C/W on Scene,1,N,not arrested,Y,N,N,30,MALE,BLACK,6.0,180,MED,BROWN,BLK,BRONX,Y,8,1
1155,Based on Radio Run,15,Y,CPSP,N,N,N,16,MALE,BLACK,5.7,130,THN,BROWN,BLK,BROOKLYN,Y,0,1
1156,Based on Radio Run,30,N,not arrested,Y,N,Y,31,MALE,WHITE,5.1,200,HEA,BROWN,BLK,QUEENS,Y,20,0
1157,Based on Radio Run,20,N,not arrested,N,N,N,18,MALE,BLACK,5.1,120,THN,BLACK,BLK,BRONX,Y,22,2
1158,Based on Radio Run,41,N,not arrested,N,N,N,52,FEMALE,WHITE,5.2,120,THN,BROWN,OTHER,BROOKLYN,Y,13,2
1159,Based on Radio Run,5,Y,PETIT LARCENY,N,N,N,51,MALE,WHITE,6.1,180,THN,BROWN,BRO,MANHATTAN,N,9,1
