Pair	Hypothesis	P-value
STOP_LOCATION_STREET_NAME-123 STREET	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-124 ST	Reject Null Hypothesis	7.88346353039715e-06
STOP_LOCATION_STREET_NAME-125 ST	Fail to Reject Null Hypothesis	0.530798905216024
STOP_LOCATION_STREET_NAME-126 AVE	Fail to Reject Null Hypothesis	0.5867536789575318
STOP_LOCATION_STREET_NAME-126 ST	Fail to Reject Null Hypothesis	0.3231922936706571
STOP_LOCATION_STREET_NAME-127 AVE	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-127 ST	Fail to Reject Null Hypothesis	0.4494049308470288
STOP_LOCATION_STREET_NAME-128 AVE	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-13 AVE	Fail to Reject Null Hypothesis	0.10442208449057705
STOP_LOCATION_STREET_NAME-13 ST	Fail to Reject Null Hypothesis	0.9369254528258079
STOP_LOCATION_STREET_NAME-130 AVE	Fail to Reject Null Hypothesis	0.5867536789575318
STOP_LOCATION_STREET_NAME-131 ST	Fail to Reject Null Hypothesis	0.0026298082635186747
STOP_LOCATION_STREET_NAME-132 RD	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-133 RD	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-133 ST	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-134 AVE	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-134 ST	Reject Null Hypothesis	2.785306294641872e-07
STOP_LOCATION_STREET_NAME-135 PL	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-137 AVE	Fail to Reject Null Hypothesis	0.5867536789575318
STOP_LOCATION_STREET_NAME-137 AVENUE	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-137 ST	Fail to Reject Null Hypothesis	0.02714671820326188
STOP_LOCATION_STREET_NAME-138 STREET	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-139 ST	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-14 AVE	Fail to Reject Null Hypothesis	0.15588057510612927
STOP_LOCATION_STREET_NAME-14 ST	Fail to Reject Null Hypothesis	0.02714671820326188
STOP_LOCATION_STREET_NAME-140 AVE	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-141 AVE	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-141 ST	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-143 ST	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-146 ST	Reject Null Hypothesis	2.951844591483623e-26
STOP_LOCATION_STREET_NAME-146 STREET	Fail to Reject Null Hypothesis	0.5867536789575318
STOP_LOCATION_STREET_NAME-148 ST	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-149 AVE	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-149 ST	Fail to Reject Null Hypothesis	0.3231922936706571
STOP_LOCATION_STREET_NAME-15 AVE	Fail to Reject Null Hypothesis	0.3952062196663525
STOP_LOCATION_STREET_NAME-150 PL	Fail to Reject Null Hypothesis	0.10442208449057705
STOP_LOCATION_STREET_NAME-150 ST	Fail to Reject Null Hypothesis	0.45268259344670525
STOP_LOCATION_STREET_NAME-152 AVE	Fail to Reject Null Hypothesis	0.3231922936706571
STOP_LOCATION_STREET_NAME-152 ST	Reject Null Hypothesis	7.88346353039715e-06
STOP_LOCATION_STREET_NAME-153 AVE	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-153 ST	Fail to Reject Null Hypothesis	0.055865580405988234
STOP_LOCATION_STREET_NAME-155 AVE	Fail to Reject Null Hypothesis	0.3231922936706571
STOP_LOCATION_STREET_NAME-155 ST	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-156 AVE	Fail to Reject Null Hypothesis	0.3231922936706571
STOP_LOCATION_STREET_NAME-157 ST	Fail to Reject Null Hypothesis	0.9369254528258079
STOP_LOCATION_STREET_NAME-159 ST	Fail to Reject Null Hypothesis	0.5867536789575318
STOP_LOCATION_STREET_NAME-160 ST	Fail to Reject Null Hypothesis	0.5867536789575318
STOP_LOCATION_STREET_NAME-161 ST	Fail to Reject Null Hypothesis	0.8325047635266902
STOP_LOCATION_STREET_NAME-164 PL	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-164 ST	Fail to Reject Null Hypothesis	0.0218504019140633
STOP_LOCATION_STREET_NAME-165 ST	Fail to Reject Null Hypothesis	0.6276966406217709
STOP_LOCATION_STREET_NAME-166 ST	Fail to Reject Null Hypothesis	0.5867536789575318
STOP_LOCATION_STREET_NAME-167 ST	Fail to Reject Null Hypothesis	0.3231922936706571
STOP_LOCATION_STREET_NAME-168 PL	Reject Null Hypothesis	7.88346353039715e-06
STOP_LOCATION_STREET_NAME-168 ST	Fail to Reject Null Hypothesis	0.7660254633840331
STOP_LOCATION_STREET_NAME-169 ST	Fail to Reject Null Hypothesis	0.7660254633840331
